d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1184041.65,1220874.61
2018-2019,517120.50,529196.51
2019-2020,869371.25,865928.38
2020-2021,672953.06,645447.92
2021-2022,1071799.99,998565.09
2022-2023,557519.93,495440.71
