d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2017-2018,44939.25,45998.56
11_defence,2018-2019,1610279.34,1627931.30
11_defence,2019-2020,126756.66,124996.87
11_defence,2021-2022,240490.05,120704.47
3_information_technology,2021-2022,105906.29,0.00
5_transportation_and_logistics,2017-2018,3116820.08,3198001.26
5_transportation_and_logistics,2018-2019,1409225.04,1427714.40
5_transportation_and_logistics,2019-2020,2220583.39,2186823.20
5_transportation_and_logistics,2020-2021,2999961.50,2862740.47
5_transportation_and_logistics,2021-2022,1799724.60,935564.14
6_industrial_products_and_services,2018-2019,22222.83,22441.48
