d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2021-2022,10528.21,0.00
10_office_management,2017-2018,505889.66,515790.73
10_office_management,2018-2019,1364231.97,1381491.72
10_office_management,2019-2020,214664.78,214249.48
10_office_management,2020-2021,133020.24,130193.98
10_office_management,2021-2022,175049.54,101767.64
2_professional_services,2017-2018,2205303.30,2266350.07
2_professional_services,2018-2019,2329879.31,2360513.12
2_professional_services,2019-2020,1831391.27,1828037.77
2_professional_services,2020-2021,1066877.14,1042996.51
2_professional_services,2021-2022,1873914.02,1386012.17
3_information_technology,2017-2018,4832225.04,4952869.86
3_information_technology,2018-2019,5114561.53,5176343.88
3_information_technology,2019-2020,6754314.03,6739333.70
3_information_technology,2020-2021,7748538.24,7560115.92
3_information_technology,2021-2022,8970982.74,6332888.60
5_transportation_and_logistics,2017-2018,48908.65,49778.03
5_transportation_and_logistics,2018-2019,128227.03,129914.48
5_transportation_and_logistics,2021-2022,54087.64,27993.64
6_industrial_products_and_services,2017-2018,30251.04,30770.67
6_industrial_products_and_services,2019-2020,11592.26,11586.97
8_security_and_protection,2017-2018,13546.71,13909.84
8_security_and_protection,2018-2019,38416.56,38908.68
8_security_and_protection,2019-2020,22576.38,22529.79
8_security_and_protection,2020-2021,16950.00,16445.37
8_security_and_protection,2021-2022,13221.00,10043.21
9_human_capital,2017-2018,552642.41,566383.34
9_human_capital,2018-2019,364525.04,369299.10
9_human_capital,2019-2020,650004.80,648684.62
9_human_capital,2020-2021,232590.24,226868.59
9_human_capital,2021-2022,363999.19,259428.88
