d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1451386.28,1488891.61
2018-2019,2107268.20,2136433.07
2019-2020,3587728.52,3555255.74
2020-2021,6789429.97,6444786.13
2021-2022,10762791.60,6440727.15
