d_fiscal_year,total,total_constant_2019_dollars
2017-2018,21530664.65,22086536.65
2018-2019,9541283.76,9670589.54
2019-2020,11649001.13,11504944.63
2020-2021,25079289.49,23812648.75
2021-2022,20434900.51,14433135.61
