owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,511163.44,524409.36
dnd-mdn,2018-2019,511163.44,519112.79
dnd-mdn,2019-2020,512563.89,508238.38
dnd-mdn,2020-2021,479548.09,453219.85
dnd-mdn,2021-2022,1062141.99,986140.42
