d_fiscal_year,total,total_constant_2019_dollars
2017-2018,9917879.46,10219222.52
2018-2019,4880108.98,4967126.21
2019-2020,5105605.35,5060440.15
2020-2021,7888315.76,7532317.45
2021-2022,6338080.40,5921514.24
