owner_org,d_fiscal_year,total,total_constant_2019_dollars
dfo-mpo,2017-2018,17850.27,18332.12
dfo-mpo,2018-2019,51027.90,51595.61
dfo-mpo,2019-2020,15849.75,15703.25
dfo-mpo,2020-2021,272979.00,257580.11
dfo-mpo,2021-2022,565273.15,524960.10
ec,2018-2019,24496.50,24737.52
ec,2019-2020,12518.10,12215.16
ec,2021-2022,39049.50,35572.88
nrcan-rncan,2018-2019,0.00,0.00
nrcan-rncan,2019-2020,0.00,0.00
nrcan-rncan,2020-2021,0.00,0.00
pwgsc-tpsgc,2017-2018,2523507.71,2588863.26
pwgsc-tpsgc,2018-2019,2605190.02,2645704.57
pwgsc-tpsgc,2019-2020,2190520.11,2162453.35
pwgsc-tpsgc,2020-2021,4049992.51,3849661.05
pwgsc-tpsgc,2021-2022,3421591.23,3176759.28
tc,2017-2018,24950.10,25538.23
