d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,59845924.359633386
1_facilities_and_construction,2018-2019,59225447.15929346
1_facilities_and_construction,2019-2020,66653678.5428282
1_facilities_and_construction,2020-2021,113864843.77708505
10_office_management,2017-2018,295858.8198551269
10_office_management,2018-2019,98793.06290968368
10_office_management,2019-2020,193114.17456009038
10_office_management,2020-2021,115720.90688973753
2_professional_services,2017-2018,162919795.16789955
2_professional_services,2018-2019,165499209.34822547
2_professional_services,2019-2020,163580574.98979092
2_professional_services,2020-2021,168451599.51996788
3_information_technology,2017-2018,5800195.026042314
3_information_technology,2018-2019,3575637.029261939
3_information_technology,2019-2020,8000840.0969644915
3_information_technology,2020-2021,8913034.198366433
4_medical,2017-2018,77435.02877268633
4_medical,2018-2019,76364.42416525184
4_medical,2019-2020,123588.24030585056
4_medical,2020-2021,166681.94241342702
5_transportation_and_logistics,2017-2018,188872.9534501643
5_transportation_and_logistics,2018-2019,244223.1294987965
5_transportation_and_logistics,2019-2020,345542.1701507106
5_transportation_and_logistics,2020-2021,86739.81193292292
6_industrial_products_and_services,2017-2018,2288654.2320425953
6_industrial_products_and_services,2018-2019,2303788.5716793076
6_industrial_products_and_services,2019-2020,2030475.5943385246
6_industrial_products_and_services,2020-2021,759574.5491574125
8_security_and_protection,2017-2018,2332628.56
8_security_and_protection,2018-2019,2272797.0120095694
8_security_and_protection,2019-2020,2394167.5857308153
8_security_and_protection,2020-2021,2427826.591767812
9_human_capital,2017-2018,559841.8648339525
9_human_capital,2018-2019,524651.141972245
9_human_capital,2019-2020,529589.972129156
9_human_capital,2020-2021,661704.231932233
NA,2017-2018,943601.3896958088
NA,2018-2019,1268234.857373909
NA,2019-2020,1264999.9734215087
NA,2020-2021,985521.8896447365
