d_most_recent_category,total,percentage
2_professional_services,660451179.0258839,0.6526895438502119
1_facilities_and_construction,299589893.83884007,0.29606910754586224
3_information_technology,26289706.35063518,0.02598074920732273
8_security_and_protection,9427419.749508196,0.009316628528192594
6_industrial_products_and_services,7382492.94721784,0.007295733745685654
NA,4462358.110135963,0.004409916390332903
9_human_capital,2275787.2108675865,0.002249042115046474
5_transportation_and_logistics,865378.0650325944,8.552081250837875e-4
10_office_management,703486.9642146385,6.952195716495613e-4
4_medical,444069.6356572158,4.388509206120727e-4
