d_most_recent_category,total,percentage
2_professional_services,660451179.03,0.6526895438502119
1_facilities_and_construction,299589893.84,0.29606910754586224
3_information_technology,26289706.35,0.02598074920732273
8_security_and_protection,9427419.75,0.009316628528192594
6_industrial_products_and_services,7382492.95,0.007295733745685654
NA,4462358.11,0.004409916390332903
9_human_capital,2275787.21,0.002249042115046474
5_transportation_and_logistics,865378.07,8.552081250837875e-4
10_office_management,703486.96,6.952195716495613e-4
4_medical,444069.64,4.388509206120727e-4
