d_vendor_name,d_fiscal_year,total,total_constant_2019_dollars
BRECKENHILL,2019-2020,21148.19,20676.61
BRECKENHILL,2020-2021,18684.32,17608.02
CONTRACT COMMUNITY,2020-2021,39832.50,37984.75
MELTWATER,2020-2021,8092.45,7703.15
MELTWATER,2021-2022,24113.35,22553.39
MNP,2020-2021,17530.86,16627.00
MNP,2021-2022,22469.14,21408.78
THE AIM GROUP,2020-2021,13814.96,13102.68
THE AIM GROUP,2021-2022,64932.25,60864.14
THE RIGHT DOOR CONSULTING,2019-2020,11784.75,11504.03
THE RIGHT DOOR CONSULTING,2020-2021,52770.09,50356.86
THE RIGHT DOOR CONSULTING,2021-2022,112373.50,105384.80
