d_vendor_name,d_fiscal_year,total
CONTRACT COMMUNITY,2020-2021,39832.5
THE RIGHT DOOR CONSULTING,2019-2020,11784.746686046512
THE RIGHT DOOR CONSULTING,2020-2021,52770.09495329775
