owner_org,d_fiscal_year,total
aafc-aac,2017-2018,1434092.2823273176
aafc-aac,2018-2019,1111590.2823273176
aafc-aac,2019-2020,400523.55109489046
aafc-aac,2020-2021,399429.2244525547
cbsa-asfc,2017-2018,96477.56756756757
cbsa-asfc,2018-2019,260846.75675675675
cbsa-asfc,2019-2020,261561.4054054054
cbsa-asfc,2020-2021,174374.27027027027
cra-arc,2017-2018,11541.093571428572
cra-arc,2018-2019,13316.646428571428
dnd-mdn,2017-2018,444.0462323943662
dnd-mdn,2018-2019,320477.08376760565
hc-sc,2020-2021,7204.824134078212
ic,2017-2018,13560
nrcan-rncan,2017-2018,74573.22
statcan,2017-2018,24857.74
