owner_org,overall_total
ssc-spc,3012328313.67
pwgsc-tpsgc,1285789979.90
cbsa-asfc,1042863401.62
esdc-edsc,893998545.58
cic,623632793.38
cra-arc,429253767.13
elections,411658508.45
ic,349475227.02
dfatd-maecd,324553733.09
tbs-sct,300342719.32
aafc-aac,292085446.32
rcmp-grc,262115445.11
hc-sc,211071035.82
csc-scc,176110173.64
nrcan-rncan,162659479.04
dfo-mpo,159259013.63
tc,152659542.87
ec,119461929.51
statcan,96998971.79
irb-cisr,96595811.44
vac-acc,92192258.00
phac-aspc,90377460.96
nrc-cnrc,79081679.53
osfi-bsif,76134161.37
cfia-acia,59996632.82
jus,59295470.63
cer-rec,58897446.51
pco-bcp,57282621.15
infc,47032921.57
nserc-crsng,32738512.60
pc,32126161.35
crtc,29192558.23
atssc-scdata,28694497.41
pch,27922543.47
cnsc-ccsn,27612716.93
csa-asc,22940557.37
ps-sp,20509226.16
psc-cfp,20312208.06
lac-bac,20263264.61
cas-satj,14235425.85
fcac-acfc,13934199.39
opc-cpvp,12023002.89
fin,10121286.10
oag-bvg,9667065.92
cihr-irsc,9571428.24
aandc-aadnc,8608403.48
ppsc-sppc,6981157.04
csps-efpc,6818723.31
ced-dec,6678924.99
sshrc-crsh,6578988.46
pmprb-cepmb,6498933.86
fja-cmf,6231106.90
isc-sac,4946622.51
osgg-bsgg,4878898.09
cta-otc,4298403.41
chrc-ccdp,4227353.39
ocol-clo,3735179.25
acoa-apeca,3532098.68
tsb-bst,3409314.44
iaac-aeic,2936618.92
ocl-cal,2892313.81
nfb-onf,2497972.87
oic-ci,2466307.36
wage,2374943.24
feddevontario,2080956.97
fintrac-canafe,2054473.62
nsira-ossnr,1925543.74
iic-iac,1479365.47
cpc-cpp,1410898.18
cgc-ccg,1041143.72
oci-bec,535245.72
casdo-ocena,494219.88
cics-scic,420243.01
mgerc-ceegm,404960.02
psic-ispc,331407.25
prairiescan,249554.00
ccohs-cchst,212576.08
mpcc-cppm,208125.73
swc-cfc,193323.09
ijc-cmi,187165.35
nbc-ccbn,182102.00
wd-deo,145903.43
pbc-clcc,94750.78
pacifican,66366.45
erc-cee,27798.00
polar-polaire,24949.81
fednor,24860.00
cannor,18323.20
ocsec-bccst,1015.07
