owner_org,overall_total
ssc-spc,1501763310.92
pwgsc-tpsgc,1058504148.60
cbsa-asfc,793936402.11
esdc-edsc,664996894.97
cic,427287177.89
cra-arc,347329025.67
elections,270200425.84
ic,258818410.52
dfatd-maecd,252716017.38
aafc-aac,233237195.98
tbs-sct,221898126.37
rcmp-grc,190552347.75
hc-sc,161521912.83
dfo-mpo,144603272.27
csc-scc,141386616.70
tc,118956093.61
nrcan-rncan,113766595.21
ec,81598824.95
vac-acc,77844541.84
osfi-bsif,60519976.98
nrc-cnrc,56828388.90
phac-aspc,53937308.70
cer-rec,52769518.61
cfia-acia,51233496.71
jus,50831867.25
pco-bcp,47794294.75
statcan,41309013.96
infc,37437427.72
crtc,28534270.61
nserc-crsng,28159399.02
pc,25892882.98
pch,23425899.57
cnsc-ccsn,23097906.97
atssc-scdata,22858028.90
irb-cisr,18362683.37
psc-cfp,18003538.12
lac-bac,17967793.25
csa-asc,17870123.75
ps-sp,13987629.20
cas-satj,11403739.99
opc-cpvp,10752772.34
fin,8508179.39
fcac-acfc,8332530.21
aandc-aadnc,8131130.69
cihr-irsc,8070708.77
oag-bvg,7838477.31
pmprb-cepmb,6176915.62
csps-efpc,5510145.26
fja-cmf,5495022.94
ced-dec,4442509.46
ppsc-sppc,4406512.97
isc-sac,4054410.25
osgg-bsgg,3872269.94
cta-otc,3363689.38
chrc-ccdp,3308492.58
ocol-clo,3141307.94
acoa-apeca,2622962.20
iaac-aeic,2476622.94
nfb-onf,2431051.39
tsb-bst,2316339.89
ocl-cal,2261903.92
fintrac-canafe,2054473.62
wage,2014068.30
oic-ci,1822387.74
feddevontario,1566728.32
cpc-cpp,1270382.68
nsira-ossnr,838452.48
cgc-ccg,792894.41
iic-iac,591381.01
sshrc-crsh,534595.10
cics-scic,384522.64
mgerc-ceegm,366640.42
oci-bec,339848.18
psic-ispc,331407.25
casdo-ocena,272444.23
swc-cfc,193323.09
nbc-ccbn,175025.70
mpcc-cppm,174982.38
ijc-cmi,164500.85
wd-deo,145903.43
ccohs-cchst,135234.04
pbc-clcc,94750.78
cannor,18323.20
fednor,8482.74
