d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,103278.70,106228.18
it_consulting_services,2018-2019,698087.50,711465.05
it_consulting_services,2019-2020,700000.07,694416.19
it_consulting_services,2020-2021,698087.50,664803.17
it_consulting_services,2021-2022,698087.50,649029.87
it_consulting_services,2022-2023,698087.50,624651.63
it_other,2017-2018,437002.76,450469.60
it_other,2018-2019,466689.04,475632.27
it_other,2019-2020,467967.64,464234.67
it_other,2020-2021,466689.04,444437.62
it_other,2021-2022,466689.04,433892.77
it_other,2022-2023,470969.34,421383.14
