d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,19975.109999999997
1_facilities_and_construction,2018-2019,10518.616661193213
1_facilities_and_construction,2019-2020,14153.72683087028
1_facilities_and_construction,2020-2021,14115.055446086482
10_office_management,2017-2018,13210.828467153286
10_office_management,2018-2019,1012.5695019157088
10_office_management,2019-2020,7126.931494252873
10_office_management,2020-2021,7107.459003831417
11_defence,2017-2018,2966875.9106098874
11_defence,2018-2019,8813365.430037156
11_defence,2019-2020,9708908.433404554
11_defence,2020-2021,13479108.30706907
2_professional_services,2019-2020,19897.940000000002
3_information_technology,2017-2018,21174473.272327404
3_information_technology,2018-2019,8212259.473473386
3_information_technology,2019-2020,15518809.101255227
3_information_technology,2020-2021,20235286.539193843
6_industrial_products_and_services,2017-2018,172402.71
6_industrial_products_and_services,2018-2019,15685.68
6_industrial_products_and_services,2020-2021,1506042.12
8_security_and_protection,2019-2020,2385.5904595185993
8_security_and_protection,2020-2021,3044.5472647702404
