d_vendor_name,overall_total
VERITAAQ TECHNOLOGY HOUSE,138898229.68
NORTHERN MICRO,84919098.54
TPG TECHNOLOGY CONSULTANTS,52816720.90
IBM CANADA,41214679.31
IRON MOUNTAIN,38192774.52
DATA COMMUNICATIONS MANAGEMENT,37662677.70
TOSHIBA CANADA,35596639.35
COSSETTE COMMUNICATIONS,24252040.07
RANDSTAD,23688978.35
CALIAN,23348942.76
CDW CANADA,22986389.84
SAP,20786402.72
ORACLE CANADA,19292438.58
SI SYSTEMS,18586227.89
BELL CANADA,15082280.66
MODIS CANADA,13758823.82
NISHA TECHONOLOGIES,13681274.54
MOORE CANADA,12432610.13
DONNA CONA,11181854.75
SUPREMEX,11100779.66
CANADA POST,10535394.48
COFOMO,10011925.99
NIMBLE INFORMATION STRATEGIES,8903564.73
TEKNION,8002711.87
OPENTEXT,6753180.47
GARTNER,6632038.46
FORREST GREEN CONSULTING,6271042.64
WOLTERS KLUWER,5982631.92
THOMSON REUTERS,5866213.19
HYPERTEC,5484274.77
BANCTEC CANADA,5274057.77
MICROSOFT CANADA,5207397.60
PURESPIRIT SOLUTIONS,4340949.02
MAXIMUS CANADA,4268195.32
ERNST YOUNG,4206156.36
CANADIAN CORPS OF COMMISSIONAIRES,3841321.80
TEKSYSTEMS CANADA,3838107.76
ECLIPSYS SOLUTIONS,3647450.19
ADVANCED CHIPPEWA TECHNOLOGIES,3224093.62
SOFTCHOICE,3113608.04
SAS INSTITUTE,3043888.79
PITNEY BOWES,3000832.64
MORNEAU SHEPELL,2971145.82
NUIX NORTH AMERICA,2916473.61
CHARRON HUMAN RESOURCES,2844657.46
EXCEL HUMAN RESOURCES,2465406.72
FEAST INTERACTIVE,2447977.76
PRECISIONIT,2368347.58
IBISKA TELECOM,2233678.93
ONICA TECHNOLOGIES CANADA,2231750.00
ACT,2217324.07
AMAZON,2142706.74
GREEN LIGHT CONSULTING SOLUTIONS,2127276.48
TERAMACH TECHNOLOGIES,2113534.02
S P GLOBAL MARKET INTELLIGENCE,1971330.48
DELOITTE,1944075.43
IT NET CONSULTANTS,1943277.04
ATLANTIC BUSINESS INTERIORS,1840311.09
PRINTERS PLUS,1804761.31
STONEWORKS TECHNOLOGIES,1614772.75
SIERRA SYSTEMS GROUP,1570821.93
4 OFFICE AUTOMATION,1565158.56
HOMEWOOD HEALTH,1293624.45
TITUS,1287307.30
BMC SOFTWARE,1205385.26
PROSCI CANADA,1187393.63
FORRESTER RESEARCH,1132555.14
SYSTEMSCOPE,1051707.78
CLOSEREACH,1025436.20
KROMAR PRINTING,999545.12
COMPUGEN,884968.37
QMR,859479.20
SENSUS COMMUNICATION SOLUTIONS,839010.70
KORN FERRY CA,833576.36
TANKATEK,746535.65
CISION CANADA,740928.40
EMTEC,730516.75
PRICEWATERHOUSE COOPERS,701998.71
UNIVERSITE SAINTE ANNE,697253.56
LEXISNEXIS CANADA,689146.12
IPSS,641404.07
HEWLETT PACKARD,639933.11
A NET SOLUTIONS,638272.90
TEEL TECHNOLOGIES CANADA,607367.39
ITEX,594145.29
EBSCO CANADA,491705.39
BLOOMBERG FINANCE L P,470821.31
RICOH,450204.52
ALTIS HUMAN RESOURCES,448957.58
FACTIVA,448550.31
CHUBB EDWARDS,442814.88
MDOS CONSULTING,441679.00
FCA CANADA,418296.91
PROQUEST,415557.61
AVI SPL,411025.71
HORIZANT,386125.30
NEWFOUND RECRUITING,384303.63
NOVA NETWORKS,376741.22
BDO CANADA,364760.81
QUORUS CONSULTING GROUP,357844.77
LES ENQUETES HENRI,345428.83
IPSOS,334812.70
R E GILMORE INVESTMENTS,328506.03
NITAM SOLUTIONS,322747.56
FMC PROFESSIONALS,319852.26
XEROX,300249.65
LIONBRIDGE,298172.30
MISHKUMI TECHNOLOGIES,284689.71
CONVERGINT TECHNOLOGIES,284468.06
ADVANCED BUSINESS INTERIORS,282570.58
LEAN AGILITY,269876.79
GEMALTO COGENT,266757.94
THE RIGHT DOOR CONSULTING,252908.54
ENVIRONICS RESEARCH GROUP,215603.42
BMC SOFTWARE CANADA,207000.73
GENESIS INTEGRATION,202413.60
TYCO INTEGRATED FIRE SECURITY,200546.50
CARAHSOFT TECHNOLOGY,198533.36
PUROLATOR,191322.57
KEYDATA ASSOCIATES,189252.40
APPLIED ELECTONICS,181617.04
DALIAN ENTERPRISES,180771.76
FORD MOTOR COMPANY,179496.05
MEDIA Q,170548.74
DELL COMPUTER,170256.33
MELTWATER,154696.59
HAWORTH,154030.37
TELECOM COMPUTER SERVICES,152834.19
POSTMEDIA NETWORK,151759.87
GLOBAL UPHOLSTERY,150513.49
GENERAL MOTORS,149249.10
CARLETON UNIVERSITY,147013.00
TRM TECHNOLOGIES,140592.99
TALIGENT CONSULTING,139741.76
CANSEL SURVEY EQUIPMENT,139304.32
IVAN S CAMERA,132150.31
THALES,131169.60
MARKIDO,129528.33
PHASELOCK SYSTEMS INTERNATIONAL,129175.69
INTEGRA NETWORKS,125776.29
GLOBAL KNOWLEDGE,125647.74
PROTAK CONSULTING GROUP,122441.15
TELUS CANADA,121798.78
BROOKFIELD GLOBAL INTEGRATED SOLUTIONS,118595.52
SDL INTERNATIONAL CANADA,112924.63
MITSUBISHI MOTOR SALES,110723.61
CBCI TELECOM,109760.38
PHOENIX STRATEGIC PERSPECTIVES,107012.15
ECOLE DE LANGUES EAGLE,102395.65
LANGUAGE MARKETPLACE,99537.65
ZERNAM ENTERPRISE,92228.68
NEOPOST CANADA,91740.40
TOYOTA,89489.64
BERLITZ CANADA,85582.50
3D DATACOMM,82887.88
JUNO RISK SOLUTIONS,81580.94
PANASONIC,79465.95
SECUREKEY TECHNOLOGIES,79100.00
JUMPING ELEPHANTS,69702.36
CA,69487.69
PATTISON SIGN GROUP,65626.57
THE MASHA KRUPP TRANSLATION GROUP,62921.76
SOLOTECH,61454.08
ROGERS,60038.11
2KEYS,60025.60
D DOYLE INSTALLATIONS,58958.88
SHI CANADA,57479.25
NATIONS TRANSLATION GROUP,56782.96
EKOS RESEARCH ASSOCIATES,54584.07
LANNICK CONTRACT SOLUTIONS,54086.35
LOWE MARTIN COMPANY,52360.11
CGI,52261.09
ACCESS 2 NETWORKS,51381.10
ADRM TECHNOLOGY CONSULTING,49173.83
INTEGRATED DISTRIBUTION SYSTEMS,47618.59
MNP,45090.80
THE AIM GROUP,44714.25
ARI FINANCIAL SERVICES,42641.19
TAG HR,42219.63
SAMSON ASSOCIES,39956.80
KONICA MINOLTA BUSINESS SOLUTIONS,39539.25
DASCO STORAGE SOLUTIONS,38140.40
CONTRACT COMMUNITY,37743.13
INSTITUTE ON GOVERNANCE,36000.00
KPMG,34611.23
CANON,34449.00
DYNAMIC PERSONNEL CONSULTANTS,34247.48
DYNABOOK CANADA,32618.58
SUBARU CANADA,27455.14
I4C INFORMATION TECHNOLOGY,24857.74
NAVPOINT CONSULTING GROUP,24521.00
GRAND TOY,24298.06
ACME FUTURE SECURITY CONTROLS,24277.88
BEVA GLOBAL MANAGEMENT,22939.00
UNIVERSITY OF OTTAWA,22600.20
INSIGHT SOFTWARE CANADA,21842.90
LANGUAGE RESEARCH DEVELOPMENT GROUP,21839.22
ECOLE DE LANGUES LA CITE,17355.00
PALADIN GROUP,16508.63
INSA,15183.21
KIA CANADA,15133.37
GENERAL DYNAMICS,14170.29
CLICK NETWORKS,14047.99
NUA OFFICE,13200.39
QUINTET CONSULTING,13154.41
ESRI,12393.29
KNOWLEDGE CIRCLE,12325.00
ALLSEATING,11849.19
PURELOGIC,11300.00
GILMORE REPRODUCTIONS,10493.75
BANFIELD SEGUIN,10028.75
ZYCOM,7676.48
ARTEMP PERSONNEL SERVICES,0.00
BAYSHORE HEALTHCARE,0.00
BIO NUCLEAR DIAGNOSTICS,0.00
MGIS,0.00
ST JOSEPH PRINT GROUP,0.00
WORKPLACE HEALTH AND COST SOLUTIONS,0.00
