d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,259300.69,265667.65
1_facilities_and_construction,2018-2019,439585.07,445886.13
1_facilities_and_construction,2019-2020,256575.73,253295.27
1_facilities_and_construction,2020-2021,393331.24,372010.79
1_facilities_and_construction,2021-2022,236653.27,187402.48
2_professional_services,2017-2018,140442.74,144082.07
2_professional_services,2018-2019,140442.74,142626.83
2_professional_services,2019-2020,150281.07,148912.47
2_professional_services,2020-2021,163143.70,155095.87
2_professional_services,2021-2022,163143.70,127621.55
6_industrial_products_and_services,2017-2018,1144129.89,1171428.23
6_industrial_products_and_services,2018-2019,2564528.40,2604094.78
6_industrial_products_and_services,2019-2020,2682803.15,2658745.52
6_industrial_products_and_services,2020-2021,2498270.83,2374276.98
6_industrial_products_and_services,2021-2022,38986.50,35830.79
