d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,30173.222208121828
1_facilities_and_construction,2018-2019,621963.9642275218
1_facilities_and_construction,2019-2020,104862.90490764003
1_facilities_and_construction,2020-2021,108330.24356300087
10_office_management,2020-2021,11497.5
2_professional_services,2017-2018,462418.88818209595
2_professional_services,2018-2019,950318.9160285842
2_professional_services,2019-2020,1246905.2278281613
2_professional_services,2020-2021,1542148.3434187307
3_information_technology,2019-2020,689850
5_transportation_and_logistics,2017-2018,10432.83
6_industrial_products_and_services,2019-2020,22033.73
6_industrial_products_and_services,2020-2021,36128.02
9_human_capital,2017-2018,17500
9_human_capital,2018-2019,105381.1506849315
9_human_capital,2019-2020,250199.708604686
9_human_capital,2020-2021,299657.3832309304
