d_fiscal_year,total,total_constant_2019_dollars
2017-2018,827644.33,853223.58
2018-2019,1122774.15,1143598.94
2019-2020,1488197.32,1474653.14
2020-2021,1312723.69,1249598.46
2021-2022,1243133.82,1156974.95
2022-2023,1028827.05,919726.60
