d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,263466.38,271456.88
it_consulting_services,2018-2019,318811.50,324466.24
it_consulting_services,2019-2020,311550.19,308305.47
it_consulting_services,2020-2021,245100.74,233672.78
it_consulting_services,2021-2022,245100.74,229355.72
it_devices_equipment,2017-2018,2409393.30,2478700.22
it_devices_equipment,2018-2019,5178401.01,5271854.93
it_devices_equipment,2019-2020,2215205.73,2173181.87
it_devices_equipment,2020-2021,5140291.01,4901585.17
it_devices_equipment,2021-2022,745316.15,694157.74
it_other,2017-2018,1063513.87,1092914.75
it_other,2018-2019,968406.61,987433.78
it_other,2019-2020,36193.55,35613.29
it_other,2020-2021,34450.43,32778.64
it_other,2021-2022,40574.73,37710.42
it_software_licensing,2017-2018,140045.88,144277.89
it_software_licensing,2018-2019,266023.42,270305.37
it_software_licensing,2019-2020,276618.61,272890.22
it_software_licensing,2020-2021,491256.31,468311.56
it_software_licensing,2021-2022,570315.65,534228.60
