d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,186719.76625154534
10_office_management,2018-2019,66426.66038751346
10_office_management,2019-2020,52231.37405812702
10_office_management,2020-2021,21813.1
11_defence,2017-2018,908297.7358356165
11_defence,2018-2019,1077446.660103542
11_defence,2019-2020,1196084.9770210392
11_defence,2020-2021,431498.9436098818
2_professional_services,2020-2021,51800.64953424658
3_information_technology,2017-2018,3876419.4281961233
3_information_technology,2018-2019,6731642.540226067
3_information_technology,2019-2020,2802624.1741379886
3_information_technology,2020-2021,5896134.208496257
6_industrial_products_and_services,2017-2018,30464.8
6_industrial_products_and_services,2019-2020,36943.9
6_industrial_products_and_services,2020-2021,43582.520000000004
8_security_and_protection,2017-2018,23059.496284153007
