d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
10_office_management,2020-2021,21813.10,20918.82
11_defence,2017-2018,1293711.96,1333744.67
11_defence,2018-2019,1143873.32,1156608.11
11_defence,2019-2020,1248316.35,1225442.48
11_defence,2020-2021,431498.94,408835.75
11_defence,2021-2022,110691.57,103203.99
11_defence,2022-2023,773241.16,694286.13
2_professional_services,2020-2021,36836.37,35206.92
3_information_technology,2017-2018,3876419.43,3990270.27
3_information_technology,2018-2019,6731642.54,6860075.22
3_information_technology,2019-2020,2839568.07,2791573.80
3_information_technology,2020-2021,5911098.49,5629953.59
3_information_technology,2021-2022,1601307.26,1485821.01
3_information_technology,2022-2023,1370166.67,1224456.89
6_industrial_products_and_services,2017-2018,47154.59,48571.97
6_industrial_products_and_services,2020-2021,43582.52,41169.33
8_security_and_protection,2017-2018,23059.50,23775.10
