normalized_vendor_name,original_vendor_name
WASTE MANAGEMENT OF CANADA,Waste Management of Canada Corporation
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT OF CANADA
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT OF CANADA CORPORATION
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT OF CANADA CORPORAT
WASTE MANAGEMENT OF CANADA,Waste Management of Canada
WASTE MANAGEMENT OF CANADA,Waste Management Corporation of Canada
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT OF CANADA CORP.
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT OF CANADA CORP
WASTE MANAGEMENT OF CANADA,WASTE MANAGMENT OF CANADA CORPORATION
WASTE MANAGEMENT OF CANADA,Waste Management Of Canada Corp
WASTE MANAGEMENT OF CANADA,Waste Management Of Canada Corporation
WASTE MANAGEMENT OF CANADA,Waste Management of Canada corp
WASTE MANAGEMENT OF CANADA,WASTE MANAGEMENT CANADA CORPORATION
WASTE MANAGEMENT OF CANADA,Waste Management of Canada Corporat
WASTE MANAGEMENT OF CANADA,Waste Management of Canada (Waterloo)
WASTE MANAGEMENT OF CANADA,Waste Management Canada
WASTE MANAGEMENT OF CANADA,Waste Managment Canada
