owner_org,d_fiscal_year,total
aafc-aac,2018-2019,4319.674145006839
aafc-aac,2019-2020,10470.203556771545
aafc-aac,2020-2021,15124.087010550382
csa-asc,2020-2021,1240.2439024390244
csc-scc,2017-2018,195412.91785714286
csc-scc,2018-2019,81912.81214285715
csc-scc,2019-2020,71566.29
csc-scc,2020-2021,79557.91934246576
dnd-mdn,2017-2018,628565.5725646232
dnd-mdn,2018-2019,659778.5092115385
dnd-mdn,2019-2020,518258.88116933143
dnd-mdn,2020-2021,870093.3078178947
ec,2017-2018,29952.061127308065
ec,2018-2019,29927.53112730807
ec,2019-2020,29472.8800872093
ec,2020-2021,31835.03997093023
ic,2019-2020,42050.58
ic,2020-2021,15453.82
nrcan-rncan,2019-2020,3851.033719346049
nrcan-rncan,2020-2021,11245.018460490463
pc,2017-2018,2318.605784671533
pc,2018-2019,6813.021813976352
pc,2019-2020,8768.867368357262
pc,2020-2021,6426.302929673822
pwgsc-tpsgc,2018-2019,217932.7230167598
pwgsc-tpsgc,2019-2020,237391.0018575419
pwgsc-tpsgc,2020-2021,236742.39256284916
rcmp-grc,2017-2018,115901.43079552517
rcmp-grc,2018-2019,115901.43079552517
rcmp-grc,2019-2020,87322.99580484773
