d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,774419.0644874565
1_facilities_and_construction,2018-2019,1026870.5364943049
1_facilities_and_construction,2019-2020,923624.0189482395
1_facilities_and_construction,2020-2021,1160265.158055707
10_office_management,2017-2018,197731.5236418144
10_office_management,2018-2019,85395.49161366007
10_office_management,2019-2020,75058.51105839416
10_office_management,2020-2021,80721.99302859715
2_professional_services,2018-2019,4319.674145006839
2_professional_services,2019-2020,10470.203556771545
2_professional_services,2020-2021,16364.330912989406
6_industrial_products_and_services,2020-2021,10366.65
