d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,47014.15,48444.36
1_facilities_and_construction,2018-2019,14345.26,14728.23
1_facilities_and_construction,2022-2023,1169479.12,1050138.48
10_office_management,2017-2018,72992.92,75080.24
10_office_management,2018-2019,13955.08,14222.50
10_office_management,2020-2021,2215.77,2087.86
10_office_management,2021-2022,14704.63,13671.27
10_office_management,2022-2023,14704.63,13157.77
2_professional_services,2017-2018,259236.05,266639.44
2_professional_services,2018-2019,1173926.56,1196226.15
2_professional_services,2019-2020,1157077.97,1147847.99
2_professional_services,2020-2021,909524.61,868749.74
2_professional_services,2021-2022,55469.46,51176.29
2_professional_services,2022-2023,14073.21,12592.77
6_industrial_products_and_services,2021-2022,184824.84,170182.80
6_industrial_products_and_services,2022-2023,214431.52,191874.23
8_security_and_protection,2017-2018,60316.17,62180.61
8_security_and_protection,2018-2019,25283.22,25920.26
8_security_and_protection,2022-2023,955.56,845.62
9_human_capital,2022-2023,11812.50,10506.79
