normalized_vendor_name,original_vendor_name
DECISIVE GROUP,DECISIVE TECHNOLOGIES INC.
DECISIVE GROUP,DECISIVE GROUP INC.
DECISIVE GROUP,Decisive Technologies Inc.
DECISIVE GROUP,Decisive Technologies Inc
DECISIVE GROUP,DECISIVE TECHNOLOGIES INC
DECISIVE GROUP,DECISIVE TECHNOLOGIES
DECISIVE GROUP,Decisive Technologies
DECISIVE GROUP,Decisive Group
DECISIVE GROUP,Decisive Group Inc.
DECISIVE GROUP,Decisive Group Inc
DECISIVE GROUP,"Decisive Technologies, INc"
DECISIVE GROUP,Decisive
DECISIVE GROUP,Decisive Technology
DECISIVE GROUP,Decisive Techologies Inc.
DECISIVE GROUP,LOGIC 2000 INC. AND DECISIVE
DECISIVE GROUP,Decisive Techologies
DECISIVE GROUP,DECISIVE ENTERPRISE IT INFRASCTRUCTURE
DECISIVE GROUP,BRITESKY TECHNOLOGIES INC
DECISIVE GROUP,LOGIC 2000 INC. AND DECISIVE TECHNOLOGY INC.
DECISIVE GROUP,DECISIVE TECH
DECISIVE GROUP,Decisive Enterprise IT Infrastructure
DECISIVE GROUP,Decisive Technologies inc
DECISIVE GROUP,Decisive Technologies Ltd.
DECISIVE GROUP,Decisive Tech
DECISIVE GROUP,DECISIVE ENTERPRISE
DECISIVE GROUP,LOGIC 2000 INC. AND DECISIVE TECHNOLOGY INC. IN CJV. (O/A TEAM LOGIC TBIPS)
DECISIVE GROUP,DECISIVE ENTERPRISE IT INFRASTRUCTURE
DECISIVE GROUP,DECISIVE
DECISIVE GROUP,BriteSky Technologies Inc.
DECISIVE GROUP,DECISIVE TECHNOLOGIE INC.
DECISIVE GROUP,Decisive Technologies - Ottawa
DECISIVE GROUP,Decisive Technolodies Inc
DECISIVE GROUP,Decisive Group Ltd
DECISIVE GROUP,Decisive Technologies Incs.
DECISIVE GROUP,DECISIVE POINTS CONSULTING INC.
DECISIVE GROUP,decisive technologies
DECISIVE GROUP,DECISIVE TECHONOLGIES
DECISIVE GROUP,BriteSky
DECISIVE GROUP,DECISIVE GROUP INC
DECISIVE GROUP,BRITESKY
