d_most_recent_category,total,percentage
3_information_technology,59860600.18,0.5343809063279332
2_professional_services,36291929.43,0.3239812845864119
9_human_capital,8311619.61,0.07419856813502361
1_facilities_and_construction,3634253.10,0.03244330097383911
NA,1862529.64,0.01662696786523208
8_security_and_protection,582697.56,0.005201793010518133
10_office_management,539881.43,0.004819569539129236
6_industrial_products_and_services,392896.86,0.0035074252382285174
7_travel,247022.26,0.0022051897039515643
4_medical,243444.28,0.0021732487855702456
5_transportation_and_logistics,51724.12,4.6174583416237937e-4
