d_most_recent_category,total,percentage
3_information_technology,52598934.43,0.569528171423144
2_professional_services,25808260.15,0.279445417813954
9_human_capital,7299551.20,0.0790377236841201
1_facilities_and_construction,2989001.55,0.03236416483835653
NA,1781803.32,0.01929292293169926
8_security_and_protection,582697.56,0.006309304188005993
10_office_management,517323.50,0.005601450149315234
6_industrial_products_and_services,348755.72,0.0037762401758045594
7_travel,247022.26,0.002674695553313347
4_medical,153625.05,0.0016634138299341972
5_transportation_and_logistics,28306.47,3.0649541235270715e-4
