d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,12345.25
1_facilities_and_construction,2018-2019,31500
1_facilities_and_construction,2019-2020,577500
1_facilities_and_construction,2020-2021,312687.95620437956
11_defence,2017-2018,198142.07650273226
2_professional_services,2017-2018,3761176.0300000003
2_professional_services,2018-2019,3269333.365
2_professional_services,2019-2020,1725093.8996575344
2_professional_services,2020-2021,2804216.8674698793
8_security_and_protection,2018-2019,217210.99999999997
