d_most_recent_category,total,percentage
3_information_technology,32538822.79,0.44991991934360187
2_professional_services,17799400.99,0.24611538991871013
9_human_capital,9634120.35,0.13321264503769975
6_industrial_products_and_services,3598859.36,0.04976204959805668
1_facilities_and_construction,2861406.51,0.03956516170703111
8_security_and_protection,2756571.84,0.03811559463452214
10_office_management,1644416.85,0.022737635641369255
NA,546140.39,0.007551577443396917
5_transportation_and_logistics,391188.85,0.005409035753184964
7_travel,330536.38,0.004570383619143311
4_medical,219900.87,0.0030406073032839594
