d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,5140614.26,5274175.86
it_consulting_services,2018-2019,4910210.05,4986745.45
it_consulting_services,2019-2020,5031240.22,4994215.19
it_consulting_services,2020-2021,3744135.06,3556047.26
it_consulting_services,2021-2022,4271707.39,3964729.88
it_devices_equipment,2017-2018,423299.77,434500.72
it_devices_equipment,2018-2019,424298.48,429833.74
it_devices_equipment,2019-2020,1480955.17,1453431.97
it_devices_equipment,2020-2021,1540056.46,1463438.21
it_devices_equipment,2021-2022,141398.51,129859.30
it_other,2017-2018,83870.22,86065.74
it_other,2018-2019,61790.91,63074.99
it_other,2019-2020,392814.33,387709.59
it_other,2020-2021,11480.60,10810.34
it_other,2021-2022,300565.01,277330.70
it_software_licensing,2017-2018,2402327.21,2464943.39
it_software_licensing,2018-2019,1344899.78,1367073.74
it_software_licensing,2019-2020,1436132.21,1423420.01
it_software_licensing,2020-2021,1438631.00,1367282.09
it_software_licensing,2021-2022,1649193.12,1529757.91
