d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_devices_equipment,2018-2019,32446.39,32951.88
it_devices_equipment,2019-2020,58975.65,57852.12
it_devices_equipment,2020-2021,13661.66,13113.07
it_devices_equipment,2021-2022,10363.31,9368.27
it_other,2017-2018,681068.23,700990.16
it_other,2018-2019,841627.39,851712.77
it_other,2019-2020,457572.11,450749.07
it_other,2020-2021,283729.79,270462.23
it_other,2021-2022,263413.37,240469.16
it_other,2022-2023,137371.06,122055.69
it_software_licensing,2019-2020,25226.49,24650.69
