d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,27055895.06
1_facilities_and_construction,2018-2019,19196904.99
1_facilities_and_construction,2019-2020,11705475.63
1_facilities_and_construction,2020-2021,10721806.66
10_office_management,2017-2018,26246.85
11_defence,2017-2018,1067911.15
11_defence,2018-2019,1067911.15
2_professional_services,2017-2018,2787326.31
2_professional_services,2018-2019,4575572.86
2_professional_services,2019-2020,533744.69
2_professional_services,2020-2021,430304.72
3_information_technology,2019-2020,23342.33
6_industrial_products_and_services,2017-2018,1130580.78
6_industrial_products_and_services,2018-2019,1788037.89
6_industrial_products_and_services,2019-2020,1510489.14
6_industrial_products_and_services,2020-2021,1103428.93
9_human_capital,2018-2019,26572.00
