d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,11557545.92,11909539.19
it_consulting_services,2018-2019,10616882.52,10798179.93
it_consulting_services,2019-2020,15891257.21,15741480.82
it_consulting_services,2020-2021,18147172.06,17301707.18
it_consulting_services,2021-2022,25385967.24,23691634.71
it_devices_equipment,2017-2018,2015485.85,2074480.25
it_devices_equipment,2018-2019,5057996.97,5127906.97
it_devices_equipment,2019-2020,2629322.29,2599164.13
it_devices_equipment,2020-2021,8161239.63,7769386.83
it_devices_equipment,2021-2022,5582996.06,5159108.79
it_other,2017-2018,1818088.12,1872639.09
it_other,2018-2019,1921867.28,1955427.31
it_other,2019-2020,732521.28,722975.11
it_other,2020-2021,904988.83,861748.94
it_other,2021-2022,2634893.86,2466682.02
it_software_licensing,2017-2018,3696624.28,3808317.80
it_software_licensing,2018-2019,3682968.65,3746654.58
it_software_licensing,2019-2020,5898564.41,5811106.91
it_software_licensing,2020-2021,3663186.65,3490184.50
it_software_licensing,2021-2022,5473008.82,5102597.82
