d_most_recent_category,total,percentage
1_facilities_and_construction,180491849.38,0.28515879091041735
2_professional_services,175578276.51,0.27739584480843954
6_industrial_products_and_services,97825474.55,0.1545543144352644
3_information_technology,79769705.50,0.12602803311972316
5_transportation_and_logistics,48072598.04,0.07594982255855784
9_human_capital,18945513.00,0.029931986401167267
10_office_management,18712400.21,0.029563691861540932
8_security_and_protection,12270616.22,0.019386327393725134
7_travel,879419.32,0.001389393206965645
4_medical,214246.39,3.384875414109852e-4
NA,191979.28,3.033077627876917e-4
