d_most_recent_category,total,percentage
2_professional_services,235306873.02,0.2826466400660627
1_facilities_and_construction,229492076.22,0.2756620044012725
6_industrial_products_and_services,122461045.76,0.14709813903190092
3_information_technology,109460535.16,0.13148214536143846
5_transportation_and_logistics,67494506.37,0.08107326064184657
9_human_capital,27707089.22,0.03328128742770559
10_office_management,23649985.82,0.028407963374576607
8_security_and_protection,15560727.22,0.01869128262260725
7_travel,936515.38,0.0011249264485024089
4_medical,251209.29,3.017483580669878e-4
0_other,191979.28,2.3060226602006245e-4
