d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2019-2020,24150.00,24107.29
11_defence,2017-2018,10999.28,11284.30
11_defence,2018-2019,4128.50,4213.06
2_professional_services,2021-2022,13231.83,12320.67
5_transportation_and_logistics,2017-2018,3650591.98,3751170.80
5_transportation_and_logistics,2018-2019,1506516.16,1532356.73
5_transportation_and_logistics,2019-2020,603450.13,600356.87
5_transportation_and_logistics,2020-2021,1153402.86,1099625.45
5_transportation_and_logistics,2021-2022,1640223.76,1113166.82
