d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,76200.41023906179
1_facilities_and_construction,2018-2019,60651.267329970884
1_facilities_and_construction,2019-2020,110844.90235428713
1_facilities_and_construction,2020-2021,76989.8702390618
2_professional_services,2017-2018,16245851.250974128
2_professional_services,2018-2019,16245851.250974128
2_professional_services,2019-2020,16290360.432483647
2_professional_services,2020-2021,16245851.250974128
7_travel,2018-2019,50750
8_security_and_protection,2018-2019,20890.0485106383
8_security_and_protection,2019-2020,454.1314893617021
