normalized_vendor_name,original_vendor_name
BROOKFIELD ASSET MANAGEMENT,Brookfield Global Relocation Services
BROOKFIELD ASSET MANAGEMENT,Brookfield Global Relocation Services Limited
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD GLOBAL RELOCATION SERVS(
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD PROPERTIES (PI) INC.
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD LEPAGE JOHNSON CONTROLS
BROOKFIELD ASSET MANAGEMENT,Brookfield Global Relocation Servic
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD GLOBAL RELOCATION SERVICES
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD
BROOKFIELD ASSET MANAGEMENT,Brookfield Brp Canada Corp
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD OFFICE  PROP MNGT LP
BROOKFIELD ASSET MANAGEMENT,Brookfield Johnson Controls Canada
BROOKFIELD ASSET MANAGEMENT,Brookfield Global Relocation
BROOKFIELD ASSET MANAGEMENT,Brookfield Properties Management
BROOKFIELD ASSET MANAGEMENT,Brookfield Properties Mgmt
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD BRP CANADA CORPORATION
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD PROPERTIES Management
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD PROPERTIES MGMT
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD PROPERTIES
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD PROPERTIES CORPORATION
BROOKFIELD ASSET MANAGEMENT,Brookfield Properties Management Co
BROOKFIELD ASSET MANAGEMENT,BROOKFIELD GLOBAL RELOCATION
