d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,1757619.19,1812161.84
1_facilities_and_construction,2018-2019,1180767.38,1203253.13
1_facilities_and_construction,2019-2020,456985.02,454102.14
1_facilities_and_construction,2020-2021,450898.78,430152.17
1_facilities_and_construction,2021-2022,285518.28,265994.02
1_facilities_and_construction,2022-2023,184877.72,165288.11
10_office_management,2017-2018,1140433.23,1173727.91
10_office_management,2018-2019,758266.77,777746.33
2_professional_services,2020-2021,27405.50,25823.54
2_professional_services,2021-2022,152408.28,139894.99
2_professional_services,2022-2023,263336.85,235087.04
6_industrial_products_and_services,2017-2018,134800.00,138678.38
6_industrial_products_and_services,2022-2023,103038.10,91506.75
