d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,267141.1275564682
1_facilities_and_construction,2019-2020,244077.9973305955
1_facilities_and_construction,2020-2021,243411.1175564682
10_office_management,2020-2021,79015.52040302267
11_defence,2017-2018,47128.31149700598
11_defence,2019-2020,479076.64824661444
11_defence,2020-2021,411815.1617533857
2_professional_services,2017-2018,22433449.19529549
2_professional_services,2018-2019,19529560.318293188
2_professional_services,2019-2020,24907295.07723391
2_professional_services,2020-2021,23529430.171969187
3_information_technology,2017-2018,32005116.445013884
3_information_technology,2018-2019,29165758.21575777
3_information_technology,2019-2020,26581715.157334145
3_information_technology,2020-2021,24761175.66705794
4_medical,2019-2020,18348.38
9_human_capital,2017-2018,81430.88318944845
9_human_capital,2018-2019,286231.6242745081
9_human_capital,2019-2020,670043.2656712848
9_human_capital,2020-2021,272965.7400542072
NA,2017-2018,62731.055680751175
NA,2019-2020,73304.55445544554
NA,2020-2021,191115.44554455444
