d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,445864.96
1_facilities_and_construction,2018-2019,1931245.09
1_facilities_and_construction,2019-2020,2276110.60
1_facilities_and_construction,2020-2021,703829.53
6_industrial_products_and_services,2018-2019,6611.11
6_industrial_products_and_services,2019-2020,17888.89
