owner_org,overall_total
ssc-spc,11784036121.36
pwgsc-tpsgc,2113097421.11
esdc-edsc,1390645524.04
cbsa-asfc,1345574611.76
rcmp-grc,1101476927.88
cic,841508296.79
cra-arc,834520540.59
hc-sc,617432709.47
dfatd-maecd,588996492.02
elections,556509869.64
ic,544385186.19
tbs-sct,443660796.55
dfo-mpo,434873447.07
aafc-aac,381704650.87
csc-scc,305824358.65
tc,275371331.03
nrcan-rncan,274780310.08
statcan,208647529.91
nrc-cnrc,199672870.44
ec,188883082.59
phac-aspc,141129159.56
vac-acc,140158506.84
osfi-bsif,126010300.32
irb-cisr,120517048.89
cfia-acia,117770980.29
jus,114346440.03
pco-bcp,105073764.72
pc,88946445.53
cer-rec,78885437.67
isc-sac,75507307.15
ps-sp,74997094.22
infc,68084457.54
csa-asc,64459226.37
nserc-crsng,58035616.04
pch,57473123.56
lac-bac,49833421.03
aandc-aadnc,47829859.68
cas-satj,45717545.75
atssc-scdata,44572852.00
cnsc-ccsn,43766577.95
csps-efpc,42142380.11
crtc,41764370.56
nfb-onf,39732337.16
oag-bvg,30800429.13
psc-cfp,27769474.99
fcac-acfc,25568218.65
fin,25338333.13
cihr-irsc,23214199.80
osgg-bsgg,20735125.37
opc-cpvp,18166236.95
ppsc-sppc,16828976.64
ced-dec,13391600.07
acoa-apeca,12672078.05
sshrc-crsh,11356865.22
chrc-ccdp,11293708.98
cta-otc,11009253.76
cgc-ccg,9057543.63
fja-cmf,8558181.43
pmprb-cepmb,8445679.12
ocol-clo,8372011.25
tsb-bst,8104074.53
wage,8039098.35
iaac-aeic,6709969.84
fintrac-canafe,5631568.16
oic-ci,4651297.89
ocl-cal,4304346.52
iic-iac,4175965.14
cpc-cpp,3788344.46
pbc-clcc,3714768.68
feddevontario,3696869.02
prairiescan,3690627.94
nsira-ossnr,2924768.35
ccohs-cchst,2335116.69
ijc-cmi,2197440.78
mgerc-ceegm,1534373.62
psic-ispc,1451072.98
wd-deo,1395531.01
cics-scic,1286928.43
swc-cfc,1101715.41
sirc-csars,1027941.46
vrab-tacra,877119.36
oci-bec,803767.89
casdo-ocena,651611.38
cannor,475949.80
nbc-ccbn,456322.10
mpcc-cppm,377787.42
polar-polaire,106750.08
pacifican,105174.74
fpcc-cpac,36507.00
erc-cee,27798.00
fednor,24860.00
ocsec-bccst,1015.07
