owner_org,overall_total
rcmp-grc,847734004.16
esdc-edsc,761921023.85
hc-sc,449977569.98
dfatd-maecd,412668280.89
ic,350315947.31
aafc-aac,280736745.18
elections,241999718.23
csc-scc,238769951.34
tbs-sct,232055396.24
tc,186004420.47
statcan,127232187.52
osfi-bsif,91585553.02
pco-bcp,81452380.16
pc,65833801.04
infc,47746720.37
nserc-crsng,44032681.92
pch,43706052.80
cas-satj,36839838.82
csa-asc,35299433.22
crtc,35280595.42
lac-bac,33999192.76
atssc-scdata,33611591.58
nfb-onf,33236264.78
cnsc-ccsn,33190349.73
csps-efpc,25922663.59
oag-bvg,25480048.63
psc-cfp,22746111.76
osgg-bsgg,18784912.89
fin,18630529.86
cihr-irsc,18245389.37
opc-cpvp,15282995.06
fcac-acfc,15254638.62
acoa-apeca,9620037.46
ced-dec,9204807.49
chrc-ccdp,7775829.65
cgc-ccg,7072326.56
fja-cmf,6805235.58
ocol-clo,6275029.02
tsb-bst,5950511.17
wage,5708161.45
iaac-aeic,4640618.81
fintrac-canafe,4396867.93
ocl-cal,3344241.24
oic-ci,3188790.43
cpc-cpp,2968356.97
pbc-clcc,2639632.09
pmprb-cepmb,1929721.13
ijc-cmi,1803329.21
mgerc-ceegm,1348450.32
psic-ispc,1301432.71
nsira-ossnr,1225434.81
ccohs-cchst,1218750.87
feddevontario,1064785.82
sshrc-crsh,1059094.81
swc-cfc,1042278.94
sirc-csars,1027941.46
cics-scic,893888.62
vrab-tacra,804882.52
cannor,461013.73
oci-bec,411229.96
iic-iac,388577.58
nbc-ccbn,363518.70
casdo-ocena,270329.45
mpcc-cppm,256045.60
polar-polaire,84637.39
fpcc-cpac,36507.00
aandc-aadnc,"NA"
cbsa-asfc,"NA"
cer-rec,"NA"
cfia-acia,"NA"
cic,"NA"
cra-arc,"NA"
cta-otc,"NA"
dfo-mpo,"NA"
ec,"NA"
irb-cisr,"NA"
isc-sac,"NA"
jus,"NA"
nrc-cnrc,"NA"
nrcan-rncan,"NA"
phac-aspc,"NA"
ppsc-sppc,"NA"
ps-sp,"NA"
pwgsc-tpsgc,"NA"
ssc-spc,"NA"
vac-acc,"NA"
wd-deo,"NA"
