d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,381710.87,391592.91
it_consulting_services,2018-2019,510968.82,518582.84
it_consulting_services,2019-2020,479872.90,476722.02
it_consulting_services,2020-2021,247591.03,235383.91
it_consulting_services,2021-2022,260383.82,242581.46
it_devices_equipment,2018-2019,195.34,197.26
it_devices_equipment,2019-2020,17873.36,17722.53
it_other,2017-2018,66146146.17,67858149.59
it_other,2018-2019,48871109.81,49643815.33
it_other,2019-2020,27692558.25,27457951.57
it_other,2020-2021,27551542.15,26192427.09
it_other,2021-2022,27518387.08,25548979.91
it_software_licensing,2017-2018,28283.39,29019.10
it_software_licensing,2018-2019,10024.37,10180.58
it_software_licensing,2019-2020,523779.68,511334.39
it_software_licensing,2020-2021,107704.27,102206.64
it_software_licensing,2021-2022,459494.79,426615.64
