d_most_recent_category,total,percentage
3_information_technology,200587890.20,0.9525
0_other,7819052.51,0.0371
2_professional_services,1447547.21,0.0069
11_defence,659708.58,0.0031
1_facilities_and_construction,37643.75,2e-4
6_industrial_products_and_services,17940.00,1e-4
10_office_management,11752.00,1e-4
