d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,20843.75
10_office_management,2020-2021,189.55
11_defence,2017-2018,346984.49
11_defence,2019-2020,12305.70
11_defence,2020-2021,36849.47
2_professional_services,2017-2018,247735.88
2_professional_services,2018-2019,266271.74
2_professional_services,2019-2020,312760.69
2_professional_services,2020-2021,414679.78
3_information_technology,2017-2018,71401080.29
3_information_technology,2018-2019,52207690.28
3_information_technology,2019-2020,28689440.62
3_information_technology,2020-2021,27903772.99
