d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,35515311.46,36599912.97
it_consulting_services,2018-2019,32808804.52,33395204.84
it_consulting_services,2019-2020,35795195.22,35465985.20
it_consulting_services,2020-2021,39137205.21,37308640.42
it_consulting_services,2021-2022,47295831.34,44083526.11
it_devices_equipment,2017-2018,31033735.15,31957213.96
it_devices_equipment,2018-2019,34165192.50,34697084.25
it_devices_equipment,2019-2020,40694355.99,40226959.60
it_devices_equipment,2020-2021,51587075.19,49056609.82
it_devices_equipment,2021-2022,33052819.48,30799452.38
it_other,2017-2018,90248416.15,92863802.72
it_other,2018-2019,88984237.24,90553614.44
it_other,2019-2020,57265200.81,56463911.18
it_other,2020-2021,77423774.41,73707800.25
it_other,2021-2022,52734914.50,49261788.66
it_software_licensing,2017-2018,26821293.31,27626384.94
it_software_licensing,2018-2019,21411643.08,21774682.61
it_software_licensing,2019-2020,24798137.41,24531762.49
it_software_licensing,2020-2021,41321404.38,39336077.53
it_software_licensing,2021-2022,30236862.99,28253677.33
