d_fiscal_year,total,total_constant_2019_dollars
2017-2018,1560238.13,1600673.51
2018-2019,1550238.13,1574346.63
2019-2020,1889847.22,1873898.85
2020-2021,1884683.71,1791712.79
2021-2022,1884683.71,1474321.39
