d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,4190602.37,4320206.63
it_consulting_services,2018-2019,3086239.15,3145619.15
it_consulting_services,2019-2020,6345176.09,6292925.25
it_consulting_services,2020-2021,9935742.41,9455935.48
it_consulting_services,2021-2022,21297914.89,19700791.39
it_consulting_services,2022-2023,16836926.10,15109268.85
it_devices_equipment,2017-2018,5960005.88,6144243.24
it_devices_equipment,2018-2019,5885499.87,5998284.55
it_devices_equipment,2019-2020,5901624.53,5854547.40
it_devices_equipment,2020-2021,5885499.87,5604883.26
it_devices_equipment,2021-2022,605944.77,573565.41
it_devices_equipment,2022-2023,15127.72,13536.35
it_software_licensing,2017-2018,22832.78,23511.21
it_software_licensing,2021-2022,93147.10,86090.22
it_software_licensing,2022-2023,120123.63,107501.39
