d_most_recent_category,d_fiscal_year,total
10_office_management,2017-2018,48138.00
11_defence,2017-2018,7232678.22
11_defence,2018-2019,447154.29
11_defence,2019-2020,15666.22
2_professional_services,2017-2018,23806.50
3_information_technology,2017-2018,163070.30
3_information_technology,2018-2019,34100.44
5_transportation_and_logistics,2017-2018,4311686.74
5_transportation_and_logistics,2018-2019,710925.43
5_transportation_and_logistics,2019-2020,109960.30
6_industrial_products_and_services,2017-2018,99698.90
6_industrial_products_and_services,2019-2020,254624.00
