owner_org,overall_total
phac-aspc,5300635202.00
dnd-mdn,1830945433.03
csc-scc,1479077994.15
vac-acc,491619080.52
isc-sac,294335388.67
tbs-sct,247525286.98
hc-sc,138407506.41
cic,134720960.14
cbsa-asfc,127649774.24
rcmp-grc,32325043.15
irb-cisr,24725241.71
cfia-acia,13777565.83
cra-arc,6799587.19
dfo-mpo,6703414.13
tc,6692211.66
esdc-edsc,6033386.37
nrc-cnrc,4324987.36
elections,3917080.37
statcan,3315567.03
aafc-aac,3212313.88
dfatd-maecd,2646771.26
aandc-aadnc,2445392.54
pc,1225301.96
jus,1143612.02
csa-asc,636489.60
cnsc-ccsn,417830.76
ec,378579.56
nrcan-rncan,353790.00
cer-rec,322840.15
cas-satj,296337.37
ic,277011.66
pwgsc-tpsgc,267125.03
ppsc-sppc,123945.00
oic-ci,76436.85
cihr-irsc,69043.00
nserc-crsng,59966.06
nsira-ossnr,53968.80
opc-cpvp,36341.77
oag-bvg,33900.00
ssc-spc,28027.62
wage,23247.99
fin,20975.63
ps-sp,17003.91
crtc,14612.02
osgg-bsgg,10897.36
osfi-bsif,10452.50
fcac-acfc,5728.96
