owner_org,overall_total
phac-aspc,3412700250.86
csc-scc,950547350.75
dnd-mdn,851547179.55
vac-acc,234119373.22
isc-sac,170152774.03
cbsa-asfc,69799972.82
hc-sc,25469034.99
rcmp-grc,20753226.33
tc,2713808.76
aandc-aadnc,2445392.54
dfatd-maecd,2059360.37
dfo-mpo,1645543.2
statcan,1116187.93
jus,826525.77
csa-asc,440238.37
cfia-acia,305512.55
cas-satj,259499.37
pc,242470.8
cnsc-ccsn,138142.47
ec,86624.05
nrcan-rncan,73117.75
elections,56936.65
cihr-irsc,56556.5
tbs-sct,38411.76
cer-rec,35569.83
ppsc-sppc,29550
opc-cpvp,24860
esdc-edsc,11772.95
