owner_org,d_fiscal_year,total
cbsa-asfc,2018-2019,10717.06
dfo-mpo,2017-2018,219603.66
dfo-mpo,2018-2019,157830.51
dfo-mpo,2019-2020,2016645.3599999999
dfo-mpo,2020-2021,745535.08
dnd-mdn,2017-2018,130447.18
dnd-mdn,2018-2019,105176.62000000001
dnd-mdn,2019-2020,10538.61
hc-sc,2017-2018,55581.28
iaac-aeic,2018-2019,16021.47
isc-sac,2017-2018,55581.28
pc,2019-2020,15610.8
pc,2020-2021,102907.12000000001
pwgsc-tpsgc,2018-2019,19554.809999999998
pwgsc-tpsgc,2019-2020,55137.39
pwgsc-tpsgc,2020-2021,14589.359999999999
rcmp-grc,2017-2018,10519
rcmp-grc,2019-2020,166100.02
rcmp-grc,2020-2021,471035.77
ssc-spc,2017-2018,86917.8
ssc-spc,2018-2019,355116.65
ssc-spc,2019-2020,121505.38021739131
ssc-spc,2020-2021,30246.64022443197
vac-acc,2019-2020,25875
