d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
1_facilities_and_construction,2017-2018,347593.20,355801.47
1_facilities_and_construction,2018-2019,2394719.18,2432524.48
1_facilities_and_construction,2019-2020,2090899.01,2072645.92
1_facilities_and_construction,2020-2021,5092798.24,4854556.47
1_facilities_and_construction,2021-2022,1514559.52,1406089.73
10_office_management,2021-2022,20543.25,18971.39
11_defence,2018-2019,787056.46,797183.33
11_defence,2019-2020,36256.38,36192.27
11_defence,2020-2021,23193.86,22191.41
11_defence,2021-2022,61792.01,58058.50
2_professional_services,2020-2021,14168.94,13375.20
2_professional_services,2021-2022,30826.40,29148.25
5_transportation_and_logistics,2018-2019,31608.90,31962.07
5_transportation_and_logistics,2019-2020,12828.25,12517.80
6_industrial_products_and_services,2017-2018,17278.75,17686.05
6_industrial_products_and_services,2018-2019,3647098.89,3699906.59
6_industrial_products_and_services,2019-2020,666646.16,658447.68
6_industrial_products_and_services,2020-2021,1427722.92,1353244.07
6_industrial_products_and_services,2021-2022,108257.86,99174.19
8_security_and_protection,2020-2021,20352.00,19355.94
8_security_and_protection,2021-2022,11672.50,10657.02
9_human_capital,2018-2019,25000.00,25245.97
