d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,552528.14,566884.29
it_consulting_services,2018-2019,745466.12,756402.24
it_consulting_services,2019-2020,863426.80,855581.76
it_consulting_services,2020-2021,1164278.29,1106244.26
it_consulting_services,2021-2022,1105821.23,1022501.76
it_devices_equipment,2017-2018,39098.32,40102.88
it_devices_equipment,2018-2019,152485.67,154285.70
it_devices_equipment,2019-2020,247735.86,242010.43
it_devices_equipment,2020-2021,489485.68,462793.44
it_devices_equipment,2021-2022,1431271.75,1300745.19
it_other,2017-2018,755187.83,774176.66
it_other,2018-2019,73310.98,74903.25
it_other,2019-2020,242793.13,238829.16
it_other,2020-2021,273648.26,258947.65
it_other,2021-2022,98048.97,89808.29
it_software_licensing,2017-2018,317138.97,325330.63
it_software_licensing,2018-2019,386287.24,392286.97
it_software_licensing,2019-2020,301635.29,299073.42
it_software_licensing,2020-2021,362848.38,345206.95
it_software_licensing,2021-2022,668689.03,615541.10
