owner_org,d_fiscal_year,total
cas-satj,2017-2018,182371.94
cas-satj,2018-2019,201658.78
cas-satj,2019-2020,191497.88
cas-satj,2020-2021,169950.98
csc-scc,2017-2018,1724452.45
csc-scc,2018-2019,177750.00
dfatd-maecd,2018-2019,96568.76
dfatd-maecd,2019-2020,94074.54
dnd-mdn,2017-2018,385251.00
dnd-mdn,2018-2019,283915.50
dnd-mdn,2019-2020,433124.94
dnd-mdn,2020-2021,1515404.50
hc-sc,2017-2018,64709.83
hc-sc,2018-2019,18209.95
hc-sc,2019-2020,23996.68
phac-aspc,2019-2020,356293.00
pwgsc-tpsgc,2018-2019,16120.65
rcmp-grc,2017-2018,21746.93
rcmp-grc,2018-2019,274011.31
