d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,3102777.110452912
1_facilities_and_construction,2018-2019,3486415.3573103724
1_facilities_and_construction,2019-2020,3603613.223172695
1_facilities_and_construction,2020-2021,2049753.9313118358
2_professional_services,2017-2018,527220.375
2_professional_services,2018-2019,301103.12394160585
2_professional_services,2019-2020,530533.0721167882
2_professional_services,2020-2021,392386.16563417925
5_transportation_and_logistics,2017-2018,348488.54
5_transportation_and_logistics,2018-2019,625991
5_transportation_and_logistics,2020-2021,10508.7
6_industrial_products_and_services,2017-2018,404061.0638297872
6_industrial_products_and_services,2019-2020,17633.54326396495
6_industrial_products_and_services,2020-2021,35170.728368017524
