owner_org,d_fiscal_year,total,total_constant_2019_dollars
dnd-mdn,2017-2018,97827734.70,100362771.33
dnd-mdn,2018-2019,97827734.70,99349100.64
dnd-mdn,2019-2020,98095755.89,97267928.22
dnd-mdn,2020-2021,97827734.70,93001920.24
dnd-mdn,2021-2022,97827734.70,90827671.26
esdc-edsc,2019-2020,3326.06,3245.57
esdc-edsc,2020-2021,448973.19,427311.83
esdc-edsc,2021-2022,277911.52,261638.67
ic,2020-2021,84750.00,81024.42
pc,2018-2019,6723.89,6795.95
pc,2019-2020,18503.33,18347.18
pc,2020-2021,13797.60,13145.31
pc,2021-2022,29376.11,27274.11
