d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2020-2021,137655
11_defence,2017-2018,55942.46
11_defence,2018-2019,42107.759999999995
11_defence,2019-2020,58554.09
3_information_technology,2017-2018,2544624.121346154
3_information_technology,2018-2019,5400026.595540468
3_information_technology,2019-2020,6335852.4032226
3_information_technology,2020-2021,4881082.016765778
5_transportation_and_logistics,2017-2018,526121.5525
5_transportation_and_logistics,2018-2019,511026.42907894735
5_transportation_and_logistics,2019-2020,533544.5384210526
5_transportation_and_logistics,2020-2021,390597.67
6_industrial_products_and_services,2017-2018,55983.06
